plan_id,sku_id,planned_date,planned_quantity,actual_produced_quantity,machine_id
PLAN-00000929,SKU-BRA-007,2023-05-07,30747,29564,M5
PLAN-00000930,SKU-BRA-007,2023-05-14,35715,41975,M5
PLAN-00000931,SKU-BRA-007,2023-05-21,33970,36013,M6
PLAN-00000932,SKU-BRA-007,2023-05-28,32239,33274,M6
PLAN-00000933,SKU-BRA-007,2023-06-04,34518,37558,M1
PLAN-00000934,SKU-BRA-007,2023-06-11,35850,36544,M5
PLAN-00000935,SKU-BRA-007,2023-06-18,32085,32593,M1
PLAN-00000936,SKU-BRA-007,2023-06-25,35639,39183,M3
PLAN-00000937,SKU-BRA-007,2023-07-02,37254,37575,M4
PLAN-00000938,SKU-BRA-007,2023-07-09,36021,37555,M3
PLAN-00000939,SKU-BRA-007,2023-07-16,36903,34036,M2
PLAN-00000940,SKU-BRA-007,2023-07-23,33084,34571,M5
PLAN-00000941,SKU-BRA-007,2023-07-30,31623,29656,M6
PLAN-00000942,SKU-BRA-007,2023-08-06,33986,30277,M2
PLAN-00000943,SKU-BRA-007,2023-08-13,37829,42496,M1
PLAN-00000944,SKU-BRA-007,2023-08-20,37146,41602,M1
PLAN-00000945,SKU-BRA-007,2023-08-27,35560,37509,M5
PLAN-00000946,SKU-BRA-007,2023-09-03,41501,41538,M2
PLAN-00000947,SKU-BRA-007,2023-09-10,39879,38858,M1
PLAN-00000948,SKU-BRA-007,2023-09-17,37342,30068,M2
PLAN-00000949,SKU-BRA-007,2023-09-24,35759,35976,M2
PLAN-00000950,SKU-BRA-007,2023-10-01,35044,30568,M1
PLAN-00000951,SKU-BRA-007,2023-10-08,35013,37261,M5
PLAN-00000952,SKU-BRA-007,2023-10-15,34443,29841,M1
PLAN-00000953,SKU-BRA-007,2023-10-22,34857,29972,M5
PLAN-00000954,SKU-BRA-007,2023-10-29,35681,34179,M6
PLAN-00000955,SKU-BRA-007,2023-11-05,37886,39634,M1
PLAN-00000956,SKU-BRA-007,2023-11-12,36999,38213,M4
PLAN-00000957,SKU-BRA-007,2023-11-19,37994,36692,M4
PLAN-00000958,SKU-BRA-007,2023-11-26,37217,35825,M4
PLAN-00000959,SKU-BRA-007,2023-12-03,36657,33755,M3
PLAN-00000960,SKU-BRA-007,2023-12-10,32766,31562,M4
PLAN-00000961,SKU-BRA-007,2023-12-17,33288,33777,M5
PLAN-00000962,SKU-BRA-007,2023-12-24,34253,35721,M6
PLAN-00000963,SKU-BRA-007,2023-12-31,37800,38717,M1
PLAN-00000964,SKU-BRA-007,2024-01-07,33447,31921,M2
PLAN-00000965,SKU-BRA-007,2024-01-14,37035,36444,M5
PLAN-00000966,SKU-BRA-007,2024-01-21,39794,43043,M1
PLAN-00000967,SKU-BRA-007,2024-01-28,35647,41501,M4
PLAN-00000968,SKU-BRA-007,2024-02-04,33605,41416,M6
PLAN-00000969,SKU-BRA-007,2024-02-11,37299,34285,M3
PLAN-00000970,SKU-BRA-007,2024-02-18,36313,34643,M4
PLAN-00000971,SKU-BRA-007,2024-02-25,39737,38511,M1
PLAN-00000972,SKU-BRA-007,2024-03-03,34161,34233,M1
PLAN-00000973,SKU-BRA-007,2024-03-10,45941,51655,M2
PLAN-00000974,SKU-BRA-007,2024-03-17,47594,50524,M5
PLAN-00000975,SKU-BRA-007,2024-03-24,47719,49540,M6
PLAN-00000976,SKU-BRA-007,2024-03-31,42408,42635,M6
PLAN-00000977,SKU-BRA-007,2024-04-07,38638,41485,M6
PLAN-00000978,SKU-BRA-007,2024-04-14,37880,39991,M5
PLAN-00000979,SKU-BRA-007,2024-04-21,37008,39477,M1
PLAN-00000980,SKU-BRA-007,2024-04-28,35663,34382,M6
PLAN-00000981,SKU-BRA-007,2024-05-05,33738,36178,M6
PLAN-00000982,SKU-BRA-007,2024-05-12,36175,39651,M3
PLAN-00000983,SKU-BRA-007,2024-05-19,38057,41687,M6
PLAN-00000984,SKU-BRA-007,2024-05-26,39384,42072,M1
PLAN-00000985,SKU-BRA-007,2024-06-02,38813,38501,M4
PLAN-00000986,SKU-BRA-007,2024-06-09,44249,39997,M2
PLAN-00000987,SKU-BRA-007,2024-06-16,39312,40024,M4
PLAN-00000988,SKU-BRA-007,2024-06-23,37370,34429,M4
PLAN-00000989,SKU-BRA-007,2024-06-30,33166,32581,M3
PLAN-00000990,SKU-BRA-007,2024-07-07,33340,29639,M5
PLAN-00000991,SKU-BRA-007,2024-07-14,36460,33826,M1
PLAN-00000992,SKU-BRA-007,2024-07-21,34536,35527,M4
PLAN-00000993,SKU-BRA-007,2024-07-28,37920,38110,M3
PLAN-00000994,SKU-BRA-007,2024-08-04,37875,43268,M6
PLAN-00000995,SKU-BRA-007,2024-08-11,37558,41523,M3
PLAN-00000996,SKU-BRA-007,2024-08-18,36079,37822,M3
PLAN-00000997,SKU-BRA-007,2024-08-25,40607,39310,M3
PLAN-00000998,SKU-BRA-007,2024-09-01,40714,36929,M4
PLAN-00000999,SKU-BRA-007,2024-09-08,40714,37466,M5
PLAN-00001000,SKU-BRA-007,2024-09-15,36328,34848,M1
PLAN-00001001,SKU-BRA-007,2024-09-22,36952,36668,M3
PLAN-00001002,SKU-BRA-007,2024-09-29,35737,37263,M5
PLAN-00001003,SKU-BRA-007,2024-10-06,36621,34539,M3
PLAN-00001004,SKU-BRA-007,2024-10-13,36760,37838,M4
PLAN-00001005,SKU-BRA-007,2024-10-20,34924,38433,M4
PLAN-00001006,SKU-BRA-007,2024-10-27,33546,34134,M5
PLAN-00001007,SKU-BRA-007,2024-11-03,35450,34696,M4
PLAN-00001008,SKU-BRA-007,2024-11-10,34962,33562,M2
PLAN-00001009,SKU-BRA-007,2024-11-17,34247,32882,M3
PLAN-00001010,SKU-BRA-007,2024-11-24,33510,35825,M5
PLAN-00001011,SKU-BRA-007,2024-12-01,35105,35882,M4
PLAN-00001012,SKU-BRA-007,2024-12-08,34075,26467,M4
PLAN-00001013,SKU-BRA-007,2024-12-15,38570,36585,M6
PLAN-00001014,SKU-BRA-007,2024-12-22,39241,41703,M4
PLAN-00001015,SKU-BRA-007,2024-12-29,39012,42359,M2
PLAN-00001016,SKU-BRA-007,2025-01-05,39838,33590,M6
PLAN-00001017,SKU-BRA-007,2025-01-12,38684,40683,M1
PLAN-00001018,SKU-BRA-007,2025-01-19,35281,34485,M3
PLAN-00001019,SKU-BRA-007,2025-01-26,37735,37628,M6
PLAN-00001020,SKU-BRA-007,2025-02-02,38971,37248,M5
PLAN-00001021,SKU-BRA-007,2025-02-09,34089,32790,M4
PLAN-00001022,SKU-BRA-007,2025-02-16,37507,38586,M6
PLAN-00001023,SKU-BRA-007,2025-02-23,37571,38063,M4
PLAN-00001024,SKU-BRA-007,2025-03-02,45969,43109,M6
PLAN-00001025,SKU-BRA-007,2025-03-09,47133,47857,M1
PLAN-00001026,SKU-BRA-007,2025-03-16,44952,44936,M5
PLAN-00001027,SKU-BRA-007,2025-03-23,48011,43573,M6
PLAN-00001028,SKU-BRA-007,2025-03-30,41457,42205,M1
PLAN-00001029,SKU-BRA-007,2025-04-06,38943,26810,M2
PLAN-00001030,SKU-BRA-007,2025-04-13,38397,37992,M2
PLAN-00001031,SKU-BRA-007,2025-04-20,35974,39840,M1
PLAN-00001032,SKU-BRA-007,2025-04-27,34967,35222,M3
PLAN-00001033,SKU-BRA-007,2025-05-04,35560,37683,M2
PLAN-00001034,SKU-BRA-007,2025-05-11,40106,39796,M6
PLAN-00001035,SKU-BRA-007,2025-05-18,39178,43162,M1
PLAN-00001036,SKU-BRA-007,2025-05-25,38378,37124,M4
PLAN-00001037,SKU-BRA-007,2025-06-01,41097,41903,M3
PLAN-00001038,SKU-BRA-007,2025-06-08,39098,39981,M5
PLAN-00001039,SKU-BRA-007,2025-06-15,36527,42530,M1
PLAN-00001040,SKU-BRA-007,2025-06-22,39047,36340,M5
PLAN-00001041,SKU-PAS-008,2023-01-01,16748,18391,M1
PLAN-00001042,SKU-PAS-008,2023-01-08,16652,16301,M3
PLAN-00001043,SKU-PAS-008,2023-01-15,14857,15656,M3
PLAN-00001044,SKU-PAS-008,2023-01-22,17852,16897,M3
PLAN-00001045,SKU-PAS-008,2023-01-29,17207,17141,M4
PLAN-00001046,SKU-PAS-008,2023-02-05,17064,16633,M3
PLAN-00001047,SKU-PAS-008,2023-02-12,17198,16280,M6
PLAN-00001048,SKU-PAS-008,2023-02-19,15145,14372,M2
PLAN-00001049,SKU-PAS-008,2023-02-26,16717,18325,M2
PLAN-00001050,SKU-PAS-008,2023-03-05,16839,16127,M5
PLAN-00001051,SKU-PAS-008,2023-03-12,16930,16140,M5
PLAN-00001052,SKU-PAS-008,2023-03-19,19082,20195,M6
PLAN-00001053,SKU-PAS-008,2023-03-26,20695,19163,M4
PLAN-00001054,SKU-PAS-008,2023-04-02,21610,20658,M2
PLAN-00001055,SKU-PAS-008,2023-04-09,21305,22146,M1
PLAN-00001056,SKU-PAS-008,2023-04-16,18710,19024,M2
PLAN-00001057,SKU-PAS-008,2023-04-23,15519,15420,M6
PLAN-00001058,SKU-PAS-008,2023-04-30,17549,18516,M1
PLAN-00001059,SKU-PAS-008,2023-05-07,14832,15623,M5
PLAN-00001060,SKU-PAS-008,2023-05-14,17463,17188,M6
PLAN-00001061,SKU-PAS-008,2023-05-21,13543,13690,M2
PLAN-00001062,SKU-PAS-008,2023-05-28,16952,16431,M1
PLAN-00001063,SKU-PAS-008,2023-06-04,16838,17392,M2
PLAN-00001064,SKU-PAS-008,2023-06-11,14617,14204,M4
PLAN-00001065,SKU-PAS-008,2023-06-18,18559,19827,M1
PLAN-00001066,SKU-PAS-008,2023-06-25,17203,17156,M1
PLAN-00001067,SKU-PAS-008,2023-07-02,17592,17988,M6
PLAN-00001068,SKU-PAS-008,2023-07-09,15501,14667,M6
PLAN-00001069,SKU-PAS-008,2023-07-16,16617,15960,M3
PLAN-00001070,SKU-PAS-008,2023-07-23,15453,15344,M4
PLAN-00001071,SKU-PAS-008,2023-07-30,15523,16623,M6
PLAN-00001072,SKU-PAS-008,2023-08-06,17065,18025,M6
PLAN-00001073,SKU-PAS-008,2023-08-13,17538,17461,M6
PLAN-00001074,SKU-PAS-008,2023-08-20,17199,16327,M3
PLAN-00001075,SKU-PAS-008,2023-08-27,17417,18498,M2
PLAN-00001076,SKU-PAS-008,2023-09-03,17531,15555,M2
PLAN-00001077,SKU-PAS-008,2023-09-10,16231,16798,M2
PLAN-00001078,SKU-PAS-008,2023-09-17,16170,14138,M5
PLAN-00001079,SKU-PAS-008,2023-09-24,15958,14699,M3
PLAN-00001080,SKU-PAS-008,2023-10-01,15229,15786,M6
PLAN-00001081,SKU-PAS-008,2023-10-08,15412,16169,M2
PLAN-00001082,SKU-PAS-008,2023-10-15,15479,15690,M2
PLAN-00001083,SKU-PAS-008,2023-10-22,15154,13751,M6
PLAN-00001084,SKU-PAS-008,2023-10-29,15884,16576,M2
PLAN-00001085,SKU-PAS-008,2023-11-05,15676,16729,M1
PLAN-00001086,SKU-PAS-008,2023-11-12,14827,13723,M4
PLAN-00001087,SKU-PAS-008,2023-11-19,16682,17704,M6
PLAN-00001088,SKU-PAS-008,2023-11-26,15534,16721,M2
PLAN-00001089,SKU-PAS-008,2023-12-03,14607,14405,M5
PLAN-00001090,SKU-PAS-008,2023-12-10,13881,12283,M1
PLAN-00001091,SKU-PAS-008,2023-12-17,16823,16406,M6
PLAN-00001092,SKU-PAS-008,2023-12-24,16342,18157,M1
PLAN-00001093,SKU-PAS-008,2023-12-31,16200,12901,M3
PLAN-00001094,SKU-PAS-008,2024-01-07,18046,18089,M1
PLAN-00001095,SKU-PAS-008,2024-01-14,16513,15582,M1
PLAN-00001096,SKU-PAS-008,2024-01-21,16616,17940,M2
PLAN-00001097,SKU-PAS-008,2024-01-28,15233,16336,M2
PLAN-00001098,SKU-PAS-008,2024-02-04,16448,14991,M6
PLAN-00001099,SKU-PAS-008,2024-02-11,16307,16607,M6
PLAN-00001100,SKU-PAS-008,2024-02-18,14934,15879,M1
PLAN-00001101,SKU-PAS-008,2024-02-25,18025,20670,M2
PLAN-00001102,SKU-PAS-008,2024-03-03,16623,17747,M6
PLAN-00001103,SKU-PAS-008,2024-03-10,18518,18322,M3
PLAN-00001104,SKU-PAS-008,2024-03-17,21698,22170,M4
PLAN-00001105,SKU-PAS-008,2024-03-24,20759,23688,M6
PLAN-00001106,SKU-PAS-008,2024-03-31,22047,22091,M5
PLAN-00001107,SKU-PAS-008,2024-04-07,18456,18049,M6
PLAN-00001108,SKU-PAS-008,2024-04-14,14486,13044,M1
PLAN-00001109,SKU-PAS-008,2024-04-21,16752,16667,M5
PLAN-00001110,SKU-PAS-008,2024-04-28,17837,18448,M4
PLAN-00001111,SKU-PAS-008,2024-05-05,16888,17283,M6
PLAN-00001112,SKU-PAS-008,2024-05-12,16978,18014,M2
PLAN-00001113,SKU-PAS-008,2024-05-19,15684,18352,M6
PLAN-00001114,SKU-PAS-008,2024-05-26,17158,17710,M6
PLAN-00001115,SKU-PAS-008,2024-06-02,16338,15696,M6
PLAN-00001116,SKU-PAS-008,2024-06-09,18495,18658,M6
PLAN-00001117,SKU-PAS-008,2024-06-16,17728,16259,M6
PLAN-00001118,SKU-PAS-008,2024-06-23,16469,15784,M1
PLAN-00001119,SKU-PAS-008,2024-06-30,16893,17252,M3
PLAN-00001120,SKU-PAS-008,2024-07-07,17790,17811,M2
PLAN-00001121,SKU-PAS-008,2024-07-14,16761,18217,M5
PLAN-00001122,SKU-PAS-008,2024-07-21,16964,17216,M6
PLAN-00001123,SKU-PAS-008,2024-07-28,16547,15559,M2
PLAN-00001124,SKU-PAS-008,2024-08-04,15991,15659,M6
PLAN-00001125,SKU-PAS-008,2024-08-11,15705,14229,M5
PLAN-00001126,SKU-PAS-008,2024-08-18,15713,14389,M1
PLAN-00001127,SKU-PAS-008,2024-08-25,18190,18393,M2
PLAN-00001128,SKU-PAS-008,2024-09-01,18600,18109,M2
PLAN-00001129,SKU-PAS-008,2024-09-08,18994,19257,M4
PLAN-00001130,SKU-PAS-008,2024-09-15,16724,17285,M5
PLAN-00001131,SKU-PAS-008,2024-09-22,15700,15948,M5
PLAN-00001132,SKU-PAS-008,2024-09-29,17003,16181,M3
PLAN-00001133,SKU-PAS-008,2024-10-06,15171,15776,M6
PLAN-00001134,SKU-PAS-008,2024-10-13,16279,14911,M6
PLAN-00001135,SKU-PAS-008,2024-10-20,15657,17009,M4
PLAN-00001136,SKU-PAS-008,2024-10-27,15929,15844,M2
PLAN-00001137,SKU-PAS-008,2024-11-03,16703,15503,M6
PLAN-00001138,SKU-PAS-008,2024-11-10,16619,16538,M4
PLAN-00001139,SKU-PAS-008,2024-11-17,16129,15163,M4
PLAN-00001140,SKU-PAS-008,2024-11-24,16273,14165,M2
PLAN-00001141,SKU-PAS-008,2024-12-01,15377,16114,M2
PLAN-00001142,SKU-PAS-008,2024-12-08,16224,15814,M6
PLAN-00001143,SKU-PAS-008,2024-12-15,15416,14263,M2
PLAN-00001144,SKU-PAS-008,2024-12-22,17644,18129,M4
PLAN-00001145,SKU-PAS-008,2024-12-29,18325,15148,M3
PLAN-00001146,SKU-PAS-008,2025-01-05,17918,16874,M5
PLAN-00001147,SKU-PAS-008,2025-01-12,16657,16093,M2
PLAN-00001148,SKU-PAS-008,2025-01-19,16200,16319,M2
PLAN-00001149,SKU-PAS-008,2025-01-26,16595,15175,M6
PLAN-00001150,SKU-PAS-008,2025-02-02,16861,18276,M5
PLAN-00001151,SKU-PAS-008,2025-02-09,18917,21090,M5
PLAN-00001152,SKU-PAS-008,2025-02-16,17029,16211,M1
PLAN-00001153,SKU-PAS-008,2025-02-23,19816,18986,M5
PLAN-00001154,SKU-PAS-008,2025-03-02,22384,20955,M2
PLAN-00001155,SKU-PAS-008,2025-03-09,23232,22320,M6
PLAN-00001156,SKU-PAS-008,2025-03-16,22502,22490,M1
PLAN-00001157,SKU-PAS-008,2025-03-23,21313,22297,M6
PLAN-00001158,SKU-PAS-008,2025-03-30,19851,19598,M5
PLAN-00001159,SKU-PAS-008,2025-04-06,17081,16517,M1
PLAN-00001160,SKU-PAS-008,2025-04-13,16314,16236,M6
PLAN-00001161,SKU-PAS-008,2025-04-20,17914,18339,M4
PLAN-00001162,SKU-PAS-008,2025-04-27,17137,17686,M3
PLAN-00001163,SKU-PAS-008,2025-05-04,16844,17080,M1
PLAN-00001164,SKU-PAS-008,2025-05-11,16660,16212,M1
PLAN-00001165,SKU-PAS-008,2025-05-18,17626,15820,M1
PLAN-00001166,SKU-PAS-008,2025-05-25,16011,17738,M6
PLAN-00001167,SKU-PAS-008,2025-06-01,19600,22617,M2
PLAN-00001168,SKU-PAS-008,2025-06-08,18843,18870,M1
PLAN-00001169,SKU-PAS-008,2025-06-15,18403,16904,M5
PLAN-00001170,SKU-PAS-008,2025-06-22,16492,17285,M3
PLAN-00001171,SKU-FLO-009,2023-01-01,34952,35748,M3
PLAN-00001172,SKU-FLO-009,2023-01-08,31427,27707,M2
PLAN-00001173,SKU-FLO-009,2023-01-15,35975,34223,M2
PLAN-00001174,SKU-FLO-009,2023-01-22,32712,24917,M2
PLAN-00001175,SKU-FLO-009,2023-01-29,34123,31777,M4
PLAN-00001176,SKU-FLO-009,2023-02-05,32495,35173,M6
PLAN-00001177,SKU-FLO-009,2023-02-12,33214,32925,M6
PLAN-00001178,SKU-FLO-009,2023-02-19,33615,35061,M4
PLAN-00001179,SKU-FLO-009,2023-02-26,31780,33242,M5
PLAN-00001180,SKU-FLO-009,2023-03-05,30559,31817,M3
PLAN-00001181,SKU-FLO-009,2023-03-12,29342,31733,M5
PLAN-00001182,SKU-FLO-009,2023-03-19,38151,40627,M4
PLAN-00001183,SKU-FLO-009,2023-03-26,39748,38462,M3
PLAN-00001184,SKU-FLO-009,2023-04-02,41468,44332,M5
PLAN-00001185,SKU-FLO-009,2023-04-09,39655,40373,M5
PLAN-00001186,SKU-FLO-009,2023-04-16,38694,40955,M5
PLAN-00001187,SKU-FLO-009,2023-04-23,29855,30238,M3
PLAN-00001188,SKU-FLO-009,2023-04-30,32811,29710,M3
PLAN-00001189,SKU-FLO-009,2023-05-07,35454,34988,M2
PLAN-00001190,SKU-FLO-009,2023-05-14,33551,35563,M6
PLAN-00001191,SKU-FLO-009,2023-05-21,32126,32444,M6
PLAN-00001192,SKU-FLO-009,2023-05-28,31942,33251,M4
PLAN-00001193,SKU-FLO-009,2023-06-04,31461,29667,M4
PLAN-00001194,SKU-FLO-009,2023-06-11,30884,36571,M6
PLAN-00001195,SKU-FLO-009,2023-06-18,33233,34975,M3
PLAN-00001196,SKU-FLO-009,2023-06-25,32818,35730,M2
PLAN-00001197,SKU-FLO-009,2023-07-02,30945,30797,M3
PLAN-00001198,SKU-FLO-009,2023-07-09,33246,32783,M2
PLAN-00001199,SKU-FLO-009,2023-07-16,32882,33815,M1
PLAN-00001200,SKU-FLO-009,2023-07-23,30894,31243,M3
PLAN-00001201,SKU-FLO-009,2023-07-30,32541,29362,M3
PLAN-00001202,SKU-FLO-009,2023-08-06,31206,34610,M6
PLAN-00001203,SKU-FLO-009,2023-08-13,32947,31660,M3
PLAN-00001204,SKU-FLO-009,2023-08-20,34467,33626,M1
PLAN-00001205,SKU-FLO-009,2023-08-27,36275,32542,M2
PLAN-00001206,SKU-FLO-009,2023-09-03,36242,36834,M5
PLAN-00001207,SKU-FLO-009,2023-09-10,31966,29308,M6
PLAN-00001208,SKU-FLO-009,2023-09-17,30718,27851,M3
PLAN-00001209,SKU-FLO-009,2023-09-24,33541,35140,M5
PLAN-00001210,SKU-FLO-009,2023-10-01,33267,31822,M5
PLAN-00001211,SKU-FLO-009,2023-10-08,32449,32423,M4
PLAN-00001212,SKU-FLO-009,2023-10-15,31229,31511,M5
PLAN-00001213,SKU-FLO-009,2023-10-22,31783,33430,M5
PLAN-00001214,SKU-FLO-009,2023-10-29,30581,35854,M6
PLAN-00001215,SKU-FLO-009,2023-11-05,33891,29062,M6
PLAN-00001216,SKU-FLO-009,2023-11-12,33047,32131,M2
PLAN-00001217,SKU-FLO-009,2023-11-19,29754,31772,M5
PLAN-00001218,SKU-FLO-009,2023-11-26,32546,31722,M6
PLAN-00001219,SKU-FLO-009,2023-12-03,32526,29613,M3
PLAN-00001220,SKU-FLO-009,2023-12-10,31635,35704,M2
PLAN-00001221,SKU-FLO-009,2023-12-17,34514,31964,M4
PLAN-00001222,SKU-FLO-009,2023-12-24,30587,30667,M1
PLAN-00001223,SKU-FLO-009,2023-12-31,33195,31649,M1
PLAN-00001224,SKU-FLO-009,2024-01-07,31606,31305,M4
PLAN-00001225,SKU-FLO-009,2024-01-14,35187,37709,M2
PLAN-00001226,SKU-FLO-009,2024-01-21,33929,34598,M4
PLAN-00001227,SKU-FLO-009,2024-01-28,33597,32505,M6
PLAN-00001228,SKU-FLO-009,2024-02-04,36287,36809,M6
PLAN-00001229,SKU-FLO-009,2024-02-11,34323,35714,M3
PLAN-00001230,SKU-FLO-009,2024-02-18,32337,35791,M6
PLAN-00001231,SKU-FLO-009,2024-02-25,30529,30509,M5
PLAN-00001232,SKU-FLO-009,2024-03-03,35240,33358,M4
PLAN-00001233,SKU-FLO-009,2024-03-10,39340,35209,M2
PLAN-00001234,SKU-FLO-009,2024-03-17,45454,43259,M6
PLAN-00001235,SKU-FLO-009,2024-03-24,45300,53197,M5
PLAN-00001236,SKU-FLO-009,2024-03-31,41904,52743,M4
PLAN-00001237,SKU-FLO-009,2024-04-07,38673,39785,M2
PLAN-00001238,SKU-FLO-009,2024-04-14,32310,31307,M5
PLAN-00001239,SKU-FLO-009,2024-04-21,34162,32117,M2
PLAN-00001240,SKU-FLO-009,2024-04-28,31145,31969,M3
PLAN-00001241,SKU-FLO-009,2024-05-05,32171,33956,M5
PLAN-00001242,SKU-FLO-009,2024-05-12,35660,31518,M6
PLAN-00001243,SKU-FLO-009,2024-05-19,31830,31669,M2
PLAN-00001244,SKU-FLO-009,2024-05-26,31245,32603,M4
PLAN-00001245,SKU-FLO-009,2024-06-02,33530,34883,M1
PLAN-00001246,SKU-FLO-009,2024-06-09,34689,33786,M6
PLAN-00001247,SKU-FLO-009,2024-06-16,35950,30671,M5
PLAN-00001248,SKU-FLO-009,2024-06-23,36555,34183,M4
PLAN-00001249,SKU-FLO-009,2024-06-30,32634,28054,M5
PLAN-00001250,SKU-FLO-009,2024-07-07,33777,30979,M4
PLAN-00001251,SKU-FLO-009,2024-07-14,29840,34558,M6
PLAN-00001252,SKU-FLO-009,2024-07-21,34419,37160,M3
PLAN-00001253,SKU-FLO-009,2024-07-28,34217,33104,M5
PLAN-00001254,SKU-FLO-009,2024-08-04,33854,34397,M5
PLAN-00001255,SKU-FLO-009,2024-08-11,34650,33516,M4
PLAN-00001256,SKU-FLO-009,2024-08-18,36841,39896,M3
PLAN-00001257,SKU-FLO-009,2024-08-25,37456,35527,M6
PLAN-00001258,SKU-FLO-009,2024-09-01,36750,35484,M4
PLAN-00001259,SKU-FLO-009,2024-09-08,32595,35527,M6
PLAN-00001260,SKU-FLO-009,2024-09-15,32070,34507,M2
PLAN-00001261,SKU-FLO-009,2024-09-22,33889,35736,M1
PLAN-00001262,SKU-FLO-009,2024-09-29,30439,31438,M2
PLAN-00001263,SKU-FLO-009,2024-10-06,33544,31319,M2
PLAN-00001264,SKU-FLO-009,2024-10-13,33268,31896,M2
PLAN-00001265,SKU-FLO-009,2024-10-20,33797,33746,M5
PLAN-00001266,SKU-FLO-009,2024-10-27,34277,39976,M3
PLAN-00001267,SKU-FLO-009,2024-11-03,31900,30314,M6
PLAN-00001268,SKU-FLO-009,2024-11-10,35031,38018,M6
PLAN-00001269,SKU-FLO-009,2024-11-17,30752,31209,M2
PLAN-00001270,SKU-FLO-009,2024-11-24,37964,45105,M4
PLAN-00001271,SKU-FLO-009,2024-12-01,34392,33132,M4
PLAN-00001272,SKU-FLO-009,2024-12-08,29014,26184,M3
PLAN-00001273,SKU-FLO-009,2024-12-15,35189,36441,M5
PLAN-00001274,SKU-FLO-009,2024-12-22,34552,39098,M3
PLAN-00001275,SKU-FLO-009,2024-12-29,35095,33511,M5
PLAN-00001276,SKU-FLO-009,2025-01-05,32822,31165,M1
PLAN-00001277,SKU-FLO-009,2025-01-12,30918,29638,M4
PLAN-00001278,SKU-FLO-009,2025-01-19,31852,28472,M5
PLAN-00001279,SKU-FLO-009,2025-01-26,34736,28512,M6
PLAN-00001280,SKU-FLO-009,2025-02-02,34840,32716,M3
PLAN-00001281,SKU-FLO-009,2025-02-09,32379,31440,M5
PLAN-00001282,SKU-FLO-009,2025-02-16,38230,39166,M2
PLAN-00001283,SKU-FLO-009,2025-02-23,33960,32620,M1
PLAN-00001284,SKU-FLO-009,2025-03-02,47450,46733,M1
PLAN-00001285,SKU-FLO-009,2025-03-09,42969,39136,M1
PLAN-00001286,SKU-FLO-009,2025-03-16,47047,53248,M6
PLAN-00001287,SKU-FLO-009,2025-03-23,44217,42171,M3
PLAN-00001288,SKU-FLO-009,2025-03-30,35806,35014,M5
PLAN-00001289,SKU-FLO-009,2025-04-06,33592,32580,M4
PLAN-00001290,SKU-FLO-009,2025-04-13,33978,30483,M4
PLAN-00001291,SKU-FLO-009,2025-04-20,35392,32733,M2
PLAN-00001292,SKU-FLO-009,2025-04-27,35045,38114,M5
PLAN-00001293,SKU-FLO-009,2025-05-04,30972,30354,M2
PLAN-00001294,SKU-FLO-009,2025-05-11,34425,37119,M2
PLAN-00001295,SKU-FLO-009,2025-05-18,39934,42040,M4
PLAN-00001296,SKU-FLO-009,2025-05-25,33242,33383,M2
PLAN-00001297,SKU-FLO-009,2025-06-01,37033,34359,M5
PLAN-00001298,SKU-FLO-009,2025-06-08,39470,37344,M3
PLAN-00001299,SKU-FLO-009,2025-06-15,33835,31782,M2
PLAN-00001300,SKU-FLO-009,2025-06-22,37375,41719,M3
PLAN-00001301,SKU-FLO-010,2023-01-01,24507,29026,M1
PLAN-00001302,SKU-FLO-010,2023-01-08,26737,25822,M6
PLAN-00001303,SKU-FLO-010,2023-01-15,24642,26245,M2
PLAN-00001304,SKU-FLO-010,2023-01-22,23894,18254,M4
PLAN-00001305,SKU-FLO-010,2023-01-29,24321,26301,M4
PLAN-00001306,SKU-FLO-010,2023-02-05,24869,24556,M5
PLAN-00001307,SKU-FLO-010,2023-02-12,24459,23111,M5
PLAN-00001308,SKU-FLO-010,2023-02-19,24648,22353,M6
PLAN-00001309,SKU-FLO-010,2023-02-26,24283,22005,M4
PLAN-00001310,SKU-FLO-010,2023-03-05,25016,26852,M1
PLAN-00001311,SKU-FLO-010,2023-03-12,21851,20353,M1
PLAN-00001312,SKU-FLO-010,2023-03-19,27239,29799,M2
PLAN-00001313,SKU-FLO-010,2023-03-26,34040,32275,M3
PLAN-00001314,SKU-FLO-010,2023-04-02,29970,31095,M3
PLAN-00001315,SKU-FLO-010,2023-04-09,29941,28923,M1
PLAN-00001316,SKU-FLO-010,2023-04-16,31405,34229,M4
PLAN-00001317,SKU-FLO-010,2023-04-23,24969,24798,M2
PLAN-00001318,SKU-FLO-010,2023-04-30,24851,28641,M5
PLAN-00001319,SKU-FLO-010,2023-05-07,25006,24934,M3
PLAN-00001320,SKU-FLO-010,2023-05-14,25668,21591,M1
PLAN-00001321,SKU-FLO-010,2023-05-21,22920,22618,M6
PLAN-00001322,SKU-FLO-010,2023-05-28,26424,30194,M3
PLAN-00001323,SKU-FLO-010,2023-06-04,26573,25945,M3
PLAN-00001324,SKU-FLO-010,2023-06-11,24863,21017,M2
PLAN-00001325,SKU-FLO-010,2023-06-18,25712,27613,M2
PLAN-00001326,SKU-FLO-010,2023-06-25,26498,23699,M4
